Brand,Family,Reference,Name,Movement,Produced,Limited,Bezel,Glass,Back,Shape,Diameter,Height,Lug Width,W/R,Nickname,Color,Finish,Indexes,Hands,Price,Materials,image_file,image_file_processed
Bulgari,Serpenti,101924,Serpenti Tubogas Yellow Gold Diamond,"Bulgari caliber B033
Hours, Minutes",,No,Gem-Set,Sapphire,Closed,Other,35.00 mm,,,,,Silver,,Mixed,Sword,"""29000""",,101924.jpg,processed_101924.jpg
Bulgari,Bulgari Bulgari,102140,Bulgari Velocissimo Two Tone,"Bulgari caliber BVL 328
Hours, Minutes, Small Seconds | Date | Chronograph, Column wheel",2013,No,Tachymeter,Sapphire,Open,Round,41.50 mm,12.73 mm,,,,Black,,Stick / Dot,Dauphine,"""13600""","Pink Gold, Stainless Steel",102140.jpg,processed_102140.jpg
Bulgari,Serpenti,102182,Serpenti Spiga Stainless Steel White,"Bulgari caliber B033
Hours, Minutes",,No,,Sapphire,Closed,Other,35.00 mm,,,,,White,,Mixed,Sword,"""5900""","Ceramic, Stainless Steel",102182.jpg,processed_102182.jpg
Bulgari,Serpenti,102237,Serpenti Tubogas Two Tone Silver Diamond,"Bulgari caliber B033
Hours, Minutes",,No,,Sapphire,Closed,Other,35.00 mm,,,,,Silver,,Mixed,Sword,"""11800""","Pink Gold, Stainless Steel",102237.jpg,processed_102237.jpg
Bulgari,Serpenti,102780,Serpenti Skin Stainless Steel / Diamond / Red,"Bulgari caliber B033
Hours, Minutes",2017,No,Gem-Set,Sapphire,Closed,Other,27.00 mm,,,,,Red,Guilloche,Mixed,Sword,"""6450""",,102780.jpg,processed_102780.jpg
Bulgari,Bulgari Bulgari,101869,Bulgari Solotempo 39 Pink Gold White,"Bulgari caliber BVL 191
Hours, Minutes, Seconds | Date",,No,,Sapphire,Open,Round,39.00 mm,9.91 mm,,,,White,,Mixed,Sword,"""19000""",,101869.jpg,processed_101869.jpg
Bulgari,B.Zero1,102179,B.Zero1 Stainless Steel,"Bulgari caliber B033
Hours, Minutes",,No,,Sapphire,Closed,Round,23.00 mm,,,30.00 m,,Black,,Gem-Set Indexes,Feuille,"""2550""",,102179.jpg,processed_102179.jpg
Bulgari,Bulgari Bulgari,101868,Bulgari Solotempo 41.5 Black Bracelet,"Bulgari caliber BVL 191
Hours, Minutes, Seconds | Date",,No,,Sapphire,Open,Round,41.50 mm,9.86 mm,,,,Black,,Mixed,Sword,"""6550""",,101868.jpg,processed_101868.jpg
Bulgari,Serpenti,102781,Serpenti Skin Stainless Steel / Diamond / MOP,"Bulgari caliber B033
Hours, Minutes",2017,No,Gem-Set,Sapphire,Closed,Other,27.00 mm,,,,,White,,Mixed,Sword,"""6450""",,102781.jpg,processed_102781.jpg
Bulgari,Serpenti,101923,Serpenti Tubogas Yellow Gold Diamond Double Tour,"Bulgari caliber B033
Hours, Minutes",,No,Gem-Set,Sapphire,Closed,Other,35.00 mm,,,,,Silver,,Mixed,Sword,"""37700""",,101923.jpg,processed_101923.jpg
Bulgari,Octo,103113,Octo Finissimo Automatic Titanium / Grey / AV,"Bulgari caliber BVL 138
Hours, Minutes, Small Seconds",2017,No,,Sapphire,Open,Other,40.00 mm,5.15 mm,,30.00 m,,Grey,Matte,Mixed,Dauphine,,,103113.jpg,processed_103113.jpg
Bulgari,Serpenti,102782,Serpenti Skin Stainless Steel / Black,"Bulgari caliber B033
Hours, Minutes",2017,No,,Sapphire,Closed,Other,27.00 mm,,,,,Black,,Mixed,Sword,"""3950""",,102782.jpg,processed_102782.jpg
Bulgari,Serpenti,102726,Serpenti Skin Pink Gold / Green,"Bulgari caliber B033
Hours, Minutes",2017,No,,Sapphire,Closed,Other,27.00 mm,,,,,Green,Guilloche,Mixed,Sword,"""7600""",,102726.jpg,processed_102726.jpg
Bulgari,Bulgari Bulgari,102108,Bulgari Solotempo 39 Two Tone,"Bulgari caliber BVL 191
Hours, Minutes, Seconds | Date",,No,,Sapphire,Open,Round,39.00 mm,9.91 mm,,,,Silver,,Mixed,Sword,"""9450""","Pink Gold, Stainless Steel",102108.jpg,processed_102108.jpg
Bulgari,Serpenti,102727,Serpenti Skin Pink Gold / Diamond / MOP,"Bulgari caliber B033
Hours, Minutes",2017,No,Gem-Set,Sapphire,Closed,Other,27.00 mm,,,,,White,Gloss,Mixed,Sword,"""9950""",,102727.jpg,processed_102727.jpg
Bulgari,Bulgari Bulgari,102055,Bulgari Solotempo 41.5 White Bracelet,"Bulgari caliber BVL 191
Hours, Minutes, Seconds | Date",,No,,Sapphire,Open,Round,41.50 mm,9.86 mm,,,,White,,Mixed,Sword,"""6550""",,102055.jpg,processed_102055.jpg
Bulgari,Bulgari Bulgari,102043,Bulgari Velocissimo,"Bulgari caliber BVL 328
Hours, Minutes, Small Seconds | Date | Chronograph, Column wheel",2013,No,Tachymeter,Sapphire,Open,Round,41.50 mm,12.73 mm,,,,Black,,Stick / Dot,Dauphine,"""8500""",,102043.jpg,processed_102043.jpg
Bulgari,B.Zero1,102321,B.Zero1 Two Tone Brown,"Bulgari caliber B033
Hours, Minutes",,No,,Sapphire,Closed,Round,23.00 mm,,,30.00 m,,Brown,,Gem-Set Indexes,Feuille,"""5450""","Pink Gold, Stainless Steel",102321.jpg,processed_102321.jpg
Bulgari,Serpenti,101827,Serpenti Tubogas Silver Diamond Large,"Bulgari caliber B033
Hours, Minutes",,No,Gem-Set,Sapphire,Closed,Other,35.00 mm,,,,,Silver,,Mixed,Sword,"""8300""",,101827.jpg,processed_101827.jpg
Bulgari,Serpenti,102123,Serpenti Tubogas Two Tone Black,"Bulgari caliber B033
Hours, Minutes",,No,,Sapphire,Closed,Other,35.00 mm,,,,,Black,,Mixed,Sword,"""8600""","Pink Gold, Stainless Steel",102123.jpg,processed_102123.jpg
Bulgari,B.Zero1,102320,B.Zero1 Two Tone Bracelet,"Bulgari caliber B033
Hours, Minutes",,No,,Sapphire,Closed,Round,23.00 mm,,,30.00 m,,White,,Gem-Set Indexes,Feuille,"""5500""","Pink Gold, Stainless Steel",102320.jpg,processed_102320.jpg
Bulgari,Serpenti,102730,Serpenti Skin Pink Gold / Diamond / Red,"Bulgari caliber B033
Hours, Minutes",2017,No,Gem-Set,Sapphire,Closed,Other,27.00 mm,,,,,Red,Guilloche,Mixed,Sword,"""9950""",,102730.jpg,processed_102730.jpg
Bulgari,Bulgari Bulgari,102056,Bulgari Solotempo 41.5 White,"Bulgari caliber BVL 191
Hours, Minutes, Seconds | Date",,No,,Sapphire,Open,Round,41.50 mm,9.86 mm,9.86 mm,,,White,,Mixed,Sword,"""6050""",,102056.jpg,processed_102056.jpg
Bulgari,B.Zero1,102085,B.Zero1 Steel Ceramic Black,"Bulgari caliber B033
Hours, Minutes",,No,,Sapphire,Closed,Round,23.00 mm,,,30.00 m,,Black,,Gem-Set Indexes,Feuille,"""2950""","Ceramic, Stainless Steel",102085.jpg,processed_102085.jpg
Bulgari,Serpenti,101956,Serpenti Tubogas Pink Gold Diamond Double Tour,"Bulgari caliber B033
Hours, Minutes",,No,,Sapphire,Closed,Other,35.00 mm,,,,,Paved,,Gem-Set Indexes,Sword,"""48500""",,101956.jpg,processed_101956.jpg
Bulgari,Octo,103563,Octo Finissimo Automatic Tatsuo Miyajima / Ceramic,"Bulgari caliber BVL 138
Hours, Minutes, Small Seconds",2021,"Yes, 120 units",,Sapphire,Open,Other,40.00 mm,5.15 mm,,30.00 m,,Blue,Matte,,Dauphine,,,103563.jpg,processed_103563.jpg
Bulgari,B.Zero1,102319,B.Zero1 Stainless Steel Black Bracelet,"Bulgari caliber B033
Hours, Minutes",,No,,Sapphire,Closed,Round,23.00 mm,,,30.00 m,,Black,,Gem-Set Indexes,Feuille,"""2750""",,102319.jpg,processed_102319.jpg
Bulgari,Bulgari Bulgari,102053,Bulgari Solotempo 41.5 Two Tone White Bracelet,"Bulgari caliber BVL 191
Hours, Minutes, Seconds | Date",,No,,Sapphire,Open,Round,41.50 mm,9.86 mm,,,,White,,Mixed,Sword,"""11000""","Pink Gold, Stainless Steel",102053.jpg,processed_102053.jpg
Bulgari,Bulgari Bulgari,102045,Bulgari Velocissimo,"Bulgari caliber BVL 328
Hours, Minutes, Small Seconds | Date | Chronograph, Column wheel",2013,No,Tachymeter,Sapphire,Open,Round,41.50 mm,12.73 mm,,,,Black,,Stick / Dot,Dauphine,"""9000""",,102045.jpg,processed_102045.jpg
Bulgari,B.Zero1,102086,B.Zero1 Steel Ceramic White,"Bulgari caliber B033
Hours, Minutes",,No,,Sapphire,Closed,Round,23.00 mm,,,30.00 m,,White,,Gem-Set Indexes,Feuille,"""2950""",,102086.jpg,processed_102086.jpg
Bulgari,Octo,103011,Octo Finissimo Automatic Stainless Steel / Grey / Bracelet,"Bulgari caliber BVL 138
Hours, Minutes, Small Seconds",2018,No,,Sapphire,Open,Other,40.00 mm,5.15 mm,,30.00 m,,Grey,Matte,Mixed,Dauphine,"""12900""",,103011.jpg,processed_103011.jpg
Bulgari,B.Zero1,102087,B.Zero1 Pink Gold Ceramic Black,"Bulgari caliber B033
Hours, Minutes",,No,,Sapphire,Closed,Round,23.00 mm,,,30.00 m,,Black,,Gem-Set Indexes,Feuille,"""5850""","Pink Gold, Ceramic",102087.jpg,processed_102087.jpg
Bulgari,Bulgari Bulgari,102044,Bulgari Velocissimo Pink Gold,"Bulgari caliber BVL 328
Hours, Minutes, Small Seconds | Date | Chronograph, Column wheel",2013,No,Tachymeter,Sapphire,Open,Round,41.50 mm,12.73 mm,,,,Black,,Stick / Dot,Dauphine,"""21450""",,102044.jpg,processed_102044.jpg
Bulgari,Serpenti,102129,Serpenti Spiga Stainless Steel Black,"Bulgari caliber B033
Hours, Minutes",,No,Gem-Set,Sapphire,Closed,Other,35.00 mm,,,,,Black,,Mixed,Sword,"""9850""","Ceramic, Stainless Steel",102129.jpg,processed_102129.jpg
Bulgari,Serpenti,102128,Serpenti Spiga Pink Gold Black,"Bulgari caliber B033
Hours, Minutes",,No,Gem-Set,Sapphire,Closed,Other,35.00 mm,,,,,Black,,Mixed,Sword,"""30800""","Pink Gold, Ceramic",102128.jpg,processed_102128.jpg
Bulgari,Octo,102704,Octo Roma 41 Stainless Steel / Black / Bracelet,"Bulgari caliber BVL 191
Hours, Minutes, Seconds | Date",2017,No,,Sapphire,Open,Other,41.00 mm,,23.50 mm,100.00 m,,Black,Gloss,Stick / Dot,Dauphine,"""6350""",,102704.jpg,processed_102704.jpg
Bulgari,Octo,102116,Octo Velocissimo,"Bulgari caliber BVL 328
Hours, Minutes, Small Seconds | Date | Chronograph, Column wheel",2014,No,,Sapphire,Open,Other,41.00 mm,,30.00 mm,100.00 m,,Black,,Stick / Dot,Dauphine,"""9900""",,102116.jpg,processed_102116.jpg
Bulgari,Bulgari Bulgari,102261,Bulgari Solotempo 39 Pink Gold Black,"Bulgari caliber BVL 191
Hours, Minutes, Seconds | Date",,No,,Sapphire,Open,Round,39.00 mm,9.91 mm,,,,Black,,Mixed,Sword,"""19000""",,102261.jpg,processed_102261.jpg
Bulgari,B.Zero1,102088,B.Zero1 Pink Gold Ceramic White,"Bulgari caliber B033
Hours, Minutes",,No,,Sapphire,Closed,Round,23.00 mm,,,30.00 m,,White,Gloss,Gem-Set Indexes,Feuille,"""5850""","Pink Gold, Ceramic",102088.jpg,processed_102088.jpg
Bulgari,Serpenti,102098,Serpenti Tubogas Two Tone Black Diamond,"Bulgari caliber B033
Hours, Minutes",,No,Gem-Set,Sapphire,Closed,Other,35.00 mm,,,,,Black,,Mixed,Sword,"""11800""","Pink Gold, Stainless Steel",102098.jpg,processed_102098.jpg
Bulgari,Serpenti,101817,Serpenti Tubogas Silver,"Bulgari caliber B033
Hours, Minutes",,No,,Sapphire,Closed,Other,35.00 mm,,,,,Silver,,Mixed,Sword,"""5100""",,101817.jpg,processed_101817.jpg
Bulgari,Bulgari Bulgari,102106,Bulgari Solotempo 39 Pink Gold Silver Bracelet,"Bulgari caliber BVL 191
Hours, Minutes, Seconds | Date",,No,,Sapphire,Open,Round,39.00 mm,9.91 mm,,,,Silver,,Mixed,Sword,"""35000""",,102106.jpg,processed_102106.jpg
Bulgari,Serpenti,101816,Serpenti Tubogas Silver Diamond,"Bulgari caliber B033
Hours, Minutes",,No,,Sapphire,Closed,Other,35.00 mm,,,,,Silver,,Mixed,Sword,"""8300""",,101816.jpg,processed_101816.jpg
Bulgari,Serpenti,102099,Serpenti Tubogas Two Tone Black Diamond Double Tour,"Bulgari caliber B033
Hours, Minutes",,No,,Sapphire,Closed,Other,35.00 mm,,,,,Black,,Mixed,Sword,"""16200""","Pink Gold, Stainless Steel",102099.jpg,processed_102099.jpg
Bulgari,Serpenti,101814,Serpenti Tubogas Pink Gold Black Diamond Double Tour,"Bulgari caliber B033
Hours, Minutes",,No,Gem-Set,Sapphire,Closed,Other,35.00 mm,,,,,Black,,Mixed,Sword,"""37700""",,101814.jpg,processed_101814.jpg
