Brand,Family,Reference,Name,Movement,Produced,Limited,Bezel,Glass,Back,Shape,Diameter,Height,Lug Width,W/R,Nickname,Color,Finish,Indexes,Hands,Materials
Rolex,Daytona,116519-0163,Cosmograph Daytona White Gold / Grey / Strap,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",2000,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,,Grey,,Arabic Numerals,Stick,White Gold
Rolex,Daytona,116509-0036,Daytona White Gold Black Racing,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",2000,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,Racing,Black,,Arabic Numerals,Stick,White Gold
Rolex,Daytona,116515LN-0004,Cosmograph Daytona Everose / Cerachrom / Chocolate / Strap,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",2011 - 2017,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,Chocolate,Brown,,Arabic Numerals,Stick,"Ceramic, Rose Gold"
Rolex,Daytona,116505-0001,Cosmograph Daytona Everose Gold / Pink,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",2011 - 2019,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,,Pink,Sunburst,Stick / Dot,Stick,Rose Gold
Rolex,Daytona,116505-0002,Cosmograph Daytona Everose / Black,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",2011 - 2019,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,,Black,,Stick / Dot,Stick,Rose Gold
Rolex,Daytona,116523-0039,Daytona Rolesor Black,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",2000 - 2016,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,,Black,,Stick / Dot,Stick,"Yellow Gold, Stainless Steel"
Rolex,Daytona,116505-0006,Cosmograph Daytona Everose / Pink Baguette,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",2019 - 2021,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,,Pink,Sunburst,Gem-Set Indexes,Stick,Rose Gold
Rolex,Daytona,116505-0005,Cosmograph Daytona Everose / Ivory,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",2011 - 2019,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,,Ivory,,Stick / Dot,Stick,Rose Gold
Rolex,Daytona,116500LN-0001 (aka: m116500ln-0001),Cosmograph Daytona Steel / Cerachrom / White,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",2016 - 2023,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,,White,Matte,Stick / Dot,Stick,"Ceramic, Stainless Steel"
Rolex,Daytona,116508-0013 (aka: m116508-0013),Cosmograph Daytona Yellow Gold / Green,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",2016,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,,Green,Sunburst,Stick / Dot,Stick,Yellow Gold
Rolex,Daytona,116509-0071 (aka: m116509-0071),Cosmograph Daytona White Gold / Blue,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",2016,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,,Blue,Sunburst,Stick / Dot,Stick,White Gold
